Description,ID,Location,Sherrifs,Date
ROBBERY,2019-00021030,800 BLOCK BASELINE ST,San Bernardino Police,
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000587,200 BLOCK MACY ST,San Bernardino Police,2/16/2019 22:00
RAPE - FORCIBLE,2019-00021458,1300 BLOCK E ST,San Bernardino Police,2/16/2019 22:00
THEFT- MOTOR VEHICLE,2019-00022531,SEPULVEDA AVE & BASELINE ST,San Bernardino Police,2/16/2019 21:00
DRUNKENNESS,2019-00020964,1500 BLOCK HANCOCK ST,San Bernardino Police,2/16/2019 20:38
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020956,1300 BLOCK F ST,San Bernardino Police,2/16/2019 20:25
THEFT- MOTOR VEHICLE,2019-00020996,1300 BLOCK E ST,San Bernardino Police,2/16/2019 19:50
WEAPON LAW VIOLATIONS,2019-00020944,400 BLOCK WABASH ST,San Bernardino Police,2/16/2019 19:26
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020941,800 BLOCK RIALTO AVE,San Bernardino Police,2/16/2019 18:30
THEFT - FROM VEH,2019-00021170,1200 BLOCK 14TH ST,San Bernardino Police,2/16/2019 18:00
SHOPLIFTING,2019-00020922,700 BLOCK 2ND ST,San Bernardino Police,2/16/2019 17:20
THEFT- MOTOR VEHICLE,2019-00021027,400 BLOCK ARROWHEAD AVE,San Bernardino Police,2/16/2019 17:07
THEFT - FROM VEH,2019-00021560,900 BLOCK ORANGE ST,San Bernardino Police,2/16/2019 15:00
THEFT- MOTOR VEHICLE,2019-00021499,2600 BLOCK MILL ST,San Bernardino Police,2/16/2019 15:00
BURGLARY/BREAKING & ENTERING,2019-00021047,900 BLOCK 2ND ST,San Bernardino Police,2/16/2019 14:30
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021167,800 BLOCK MT VERNON AVE,San Bernardino Police,2/16/2019 13:55
THEFT- MOTOR VEHICLE,2019-00020996,1300 BLOCK E ST,San Bernardino Police,
DRUNK IN PUBLIC,190470052,25600 BLOCK FISHER ST,Highland Police,2/16/2019 13:30
THEFT - ALL OTHER,2019-00021589,300 BLOCK MT VERNON AVE,San Bernardino Police,2/16/2019 13:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020860,100 BLOCK 2ND ST,San Bernardino Police,2/16/2019 13:00
ASSAULT - AGGRAVATED,2019-00020860,100 BLOCK 2ND ST,San Bernardino Police,2/16/2019 13:00
ASSAULT - AGGRAVATED,2019-00021193,1100 BLOCK MEDICAL CENTER DR,San Bernardino Police,2/16/2019 12:00
ASSAULT - AGGRAVATED,2019-00020815,700 BLOCK BASELINE ST,San Bernardino Police,2/16/2019 11:59
THEFT - ALL OTHER,2019-03000573,900 BLOCK WATERMAN AVE,San Bernardino Police,2/16/2019 11:45
THEFT- MOTOR VEHICLE,2019-00021185,400 BLOCK STODDARD AVE,San Bernardino Police,2/16/2019 11:21
"211, STRONGARM, OTHER ROBBERY",190470042,ROGERS LN / BASELINE ST,Highland Police,2/16/2019 11:10
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020772,1400 BLOCK MAGNOLIA AVE,San Bernardino Police,2/16/2019 9:46
THEFT - ALL OTHER,2019-00020779,1200 BLOCK WATERMAN AVE,San Bernardino Police,2/16/2019 9:45
BURGLARY/BREAKING & ENTERING,2019-03000575,900 BLOCK MILL ST,San Bernardino Police,2/16/2019 9:15
THEFT - ALL OTHER,2019-00020854,300 BLOCK DOOLITTLE DR,San Bernardino Police,2/16/2019 7:00
BURGLARY/BREAKING & ENTERING,2019-00020733,800 BLOCK E ST,San Bernardino Police,2/16/2019 6:25
VANDALISM FELONY OVER $400.00,190470013,25700 BLOCK BASELINE ST,Highland Police,2/16/2019 3:18
THEFT - ALL OTHER,2019-03000585,689 S E ST,San Bernardino Police,2/16/2019 1:15
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020655,1400 BLOCK BELLE ST,San Bernardino Police,2/15/2019 23:45
ASSAULT - AGGRAVATED,2019-00021482,WALL AVE & BASELINE ST,San Bernardino Police,2/15/2019 23:00
BURGLARY/BREAKING & ENTERING,2019-00020745,1500 BLOCK SEPULVEDA AVE,San Bernardino Police,2/15/2019 22:00
THEFT - ALL OTHER,2019-00020761,600 BLOCK J ST,San Bernardino Police,2/15/2019 20:00
THEFT - ALL OTHER,2019-03000576,400 BLOCK E ST,San Bernardino Police,2/15/2019 20:00
THEFT- MOTOR VEHICLE,2019-00021971,200 BLOCK E ST,San Bernardino Police,2/15/2019 18:13
DRUG/NARCOTIC VIOLATIONS,2019-00020523,747 N ARROWHEAD AVE,San Bernardino Police,2/15/2019 16:56
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020533,900 BLOCK MTN VIEW AVE,San Bernardino Police,2/15/2019 16:45
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000578,500 INLAND CENTER DR,San Bernardino Police,2/15/2019 16:35
ASSAULT - AGGRAVATED,2019-00020516,1000 BLOCK 2ND ST,San Bernardino Police,2/15/2019 16:14
RAPE - FORCIBLE,2019-00020506,UNION ST & MEDICAL CENTER DR,San Bernardino Police,2/15/2019 14:15
THEFT - ALL OTHER,2019-00020443,D ST & RIALTO AVE,San Bernardino Police,2/15/2019 13:30
ROBBERY,2019-00020398,700 BLOCK 2ND ST,San Bernardino Police,2/15/2019 12:14
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020367,700 BLOCK 9TH ST,San Bernardino Police,2/15/2019 11:00
THEFT - ALL OTHER,,,,
ROBBERY,2019-00020370,200 BLOCK 9TH ST,San Bernardino Police,2/15/2019 10:31
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020334,600 BLOCK H ST,San Bernardino Police,2/15/2019 9:30
THEFT- MOTOR VEHICLE,2019-00020248,2600 BLOCK POPLAR ST,San Bernardino Police,2/15/2019 2:40
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020232,1100 BLOCK D ST,San Bernardino Police,2/15/2019 1:15
MURDER/HOMICIDE,190460002,26300 BLOCK E BASELINE ST,Highland Police,2/15/2019 0:19
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021704,300 BLOCK BASELINE ST,San Bernardino Police,2/14/2019 22:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020552,1400 BLOCK SEPULVEDA AVE,San Bernardino Police,2/14/2019 21:00
THEFT- MOTOR VEHICLE,2019-00020291,200 BLOCK RANCHO AVE,San Bernardino Police,2/14/2019 21:00
ASSAULT - AGGRAVATED,2019-00020130,200 BLOCK BASELINE ST,San Bernardino Police,2/14/2019 18:00
ROBBERY,2019-00020091,1100 BLOCK 2ND ST,San Bernardino Police,2/14/2019 16:03
ROBBERY,2019-00020056,1300 BLOCK WATERMAN AVE,San Bernardino Police,2/14/2019 13:55
SHOPLIFTING,2019-00020058,700 BLOCK 2ND ST,San Bernardino Police,2/14/2019 13:50
THEFT- MOTOR VEHICLE,2019-00020010,900 BLOCK GILBERT ST,San Bernardino Police,2/14/2019 12:39
SHOPLIFTING,2019-00020009,900 BLOCK MILL ST,San Bernardino Police,2/14/2019 11:06
"RESIDENTIAL-DAY, ENTRY NO FORCE",190450043,8000 BLOCK MICHAEL DR,Highland Police,2/14/2019 10:25
THEFT- MOTOR VEHICLE,2019-00020291,200 BLOCK RANCHO AVE,San Bernardino Police,2/14/2019 21:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019939,200 BLOCK WABASH ST,San Bernardino Police,2/14/2019 9:00
THEFT- MOTOR VEHICLE,2019-00020389,1300 BLOCK WINDSOR DR,San Bernardino Police,2/14/2019 7:30
THEFT - ALL OTHER,2019-00020484,1300 BLOCK PARKSIDE DR,San Bernardino Police,2/14/2019 7:00
BURGLARY/BREAKING & ENTERING,2019-00019883,400 BLOCK 6TH ST,San Bernardino Police,2/14/2019 4:39
THEFT- MOTOR VEHICLE,2019-00020082,1400 BLOCK SEPULVEDA AVE,San Bernardino Police,2/14/2019 2:00
BURGLARY/BREAKING & ENTERING,2019-00019855,600 BLOCK E ST,San Bernardino Police,2/14/2019 1:43
THEFT- MOTOR VEHICLE,2019-00019833,RIALTO AVE & RANCHO AVE,San Bernardino Police,2/13/2019 23:30
DISCHARGE FIREARM NEGLIGENT,190460035,26100 BLOCK CYPRESS ST,Highland Police,2/13/2019 23:24
ROBBERY,2019-00019825,300 BLOCK BASELINE ST,San Bernardino Police,2/13/2019 23:19
ASSAULT - AGGRAVATED,2019-00020112,1800 BLOCK 7TH ST,San Bernardino Police,2/13/2019 22:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019791,1100 BLOCK HUFF ST,San Bernardino Police,2/13/2019 20:20
ASSAULT - AGGRAVATED,2019-00019791,1100 BLOCK HUFF ST,San Bernardino Police,2/13/2019 20:20
THEFT- MOTOR VEHICLE,2019-00019792,200 BLOCK 13TH ST,San Bernardino Police,2/13/2019 19:55
THEFT - ALL OTHER,2019-00019961,200 BLOCK 5TH ST,San Bernardino Police,2/13/2019 19:45
THEFT - ALL OTHER,2019-00019771,200 BLOCK PENNSYLVANIA AVE,San Bernardino Police,2/13/2019 19:05
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019752,1100 BLOCK 2ND ST,San Bernardino Police,2/13/2019 18:20
"ASSAULT, NON AGGRAVATED, TO CHILD",190440086,7400 BLOCK ELM ST,Highland Police,2/13/2019 17:44
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019718,1200 BLOCK LUGO AVE,San Bernardino Police,2/13/2019 17:00
ROBBERY,2019-00019698,CALIFORNIA ST & 16TH ST,San Bernardino Police,2/13/2019 16:20
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019702,1200 BLOCK SIERRA WAY,San Bernardino Police,2/13/2019 16:00
ADW - OTHER DANGEROUS WEAPON,190440075,8100 BLOCK TIPPECANOE AVE,San Bernardino County Sheriff,2/13/2019 15:54
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019591,100 BLOCK 9TH ST,San Bernardino Police,2/13/2019 13:00
THEFT - ALL OTHER,2019-00019582,1100 BLOCK 2ND ST,San Bernardino Police,2/13/2019 13:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019569,200 BLOCK D ST,San Bernardino Police,2/13/2019 11:45
THEFT - ALL OTHER,2019-00019502,200 BLOCK I ST,San Bernardino Police,2/13/2019 10:36
SHOPLIFTING,2019-00019458,800 BLOCK INLAND CENTER DR,San Bernardino Police,2/13/2019 9:24
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019476,1200 BLOCK F ST,San Bernardino Police,2/13/2019 9:00
THEFT- MOTOR VEHICLE,2019-00019414,100 BLOCK D ST,San Bernardino Police,2/13/2019 7:31
THEFT- MOTOR VEHICLE,2019-00022482,1900 BLOCK EVANS ST,San Bernardino Police,2/13/2019 7:00
THEFT - ALL OTHER,2019-00019926,700 BLOCK ARROWHEAD AVE,San Bernardino Police,2/13/2019 7:00
THEFT- MOTOR VEHICLE,2019-00019406,2300 BLOCK ISABELLA DR,San Bernardino Police,2/13/2019 4:45
ASSAULT - AGGRAVATED,2019-00019363,300 BLOCK BASELINE ST,San Bernardino Police,2/13/2019 4:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019461,1000 BLOCK CABRERA AVE,San Bernardino Police,2/13/2019 3:30
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019267,1000 BLOCK TEMPLE ST,San Bernardino Police,2/12/2019 19:45
THEFT- MOTOR VEHICLE,2019-00019279,400 BLOCK WABASH ST,San Bernardino Police,2/12/2019 18:00
THEFT - ALL OTHER,2019-00019674,ARROWHEAD AVE & 2ND ST,San Bernardino Police,2/12/2019 15:00
THEFT - FROM VEH,2019-00019173,300 BLOCK E ST,San Bernardino Police,2/12/2019 14:30
THEFT- MOTOR VEHICLE,2019-00019108,700 BLOCK 7TH ST,San Bernardino Police,2/12/2019 13:40
"211, STRONGARM, OTHER ROBBERY",190430055,25600 BLOCK BASELINE ST,Highland Police,2/12/2019 13:21
BURGLARY/BREAKING & ENTERING,2019-00019514,1400 BLOCK WATERMAN AVE,San Bernardino Police,2/12/2019 12:25
ASSAULT - SIMPLE (NO MED NEEDED),2019-00018994,300 BLOCK WABASH ST,San Bernardino Police,2/12/2019 10:20
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000565,618 S MT VERNON AVE,San Bernardino Police,2/12/2019 9:00
SHOPLIFTING,2019-00018847,1500 BLOCK BASELINE ST,San Bernardino Police,2/12/2019 5:11
THEFT- MOTOR VEHICLE,2019-00018827,200 BLOCK BIG HORN MOUNTAIN RD,San Bernardino Police,2/12/2019 3:13
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000568,531 N F ST,San Bernardino Police,2/11/2019 22:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00019267,1000 BLOCK TEMPLE ST,San Bernardino Police,
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000569,1259 CONGRESS ST,San Bernardino Police,2/11/2019 20:30
BURGLARY/BREAKING & ENTERING,2019-03000408,1400 BLOCK BASELINE ST,San Bernardino Police,2/11/2019 17:45
ASSAULT - SIMPLE (NO MED NEEDED),2019-00018753,500 BLOCK G ST,San Bernardino Police,2/11/2019 17:30
ROBBERY,2019-00018675,1500 BLOCK BASELINE ST,San Bernardino Police,2/11/2019 17:00
SHOPLIFTING,2019-00018662,300 BLOCK INLAND CENTER MALL,San Bernardino Police,2/11/2019 15:40
ASSAULT - AGGRAVATED,2019-00018643,1100 BLOCK ORANGE ST,San Bernardino Police,2/11/2019 14:50
BURGLARY/BREAKING & ENTERING,2019-00018767,1100 BLOCK ESPERANZA ST,San Bernardino Police,2/11/2019 9:00
THEFT - ALL OTHER,2019-00018362,200 BLOCK 8TH ST,San Bernardino Police,2/11/2019 4:28
THEFT - FROM VEH,2019-00018347,400 BLOCK 2ND ST,San Bernardino Police,2/11/2019 3:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00018387,200 BLOCK 8TH ST,San Bernardino Police,2/11/2019 0:01
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000559,6958 E TIPPACANOE AVE,San Bernardino Police,2/10/2019 23:45
THEFT - ALL OTHER,2019-00019726,1400 BLOCK CRESCENT AVE,San Bernardino Police,2/10/2019 21:00
THEFT - ALL OTHER,2019-00018215,500 INLAND CENTER DR,San Bernardino Police,2/10/2019 18:30
ASSAULT - AGGRAVATED,2019-00018206,1200 BLOCK GENEVIEVE ST,San Bernardino Police,2/10/2019 18:05
DRUNKENNESS,2019-00018199,1200 BLOCK 3RD ST,San Bernardino Police,2/10/2019 17:44
THEFT - ALL OTHER,2019-03000563,796 INLAND CENTER DR,San Bernardino Police,2/10/2019 14:34
SHOPLIFTING,2019-00018150,400 BLOCK INLAND CENTER MALL,San Bernardino Police,2/10/2019 14:00
THEFT - ALL OTHER,2019-00018173,200 BLOCK 8TH ST,San Bernardino Police,2/10/2019 12:00
THEFT - FROM VEH,2019-00018174,300 BLOCK E ST,San Bernardino Police,2/10/2019 11:00
GTA - AUTO,190410034,7300 BLOCK STERLING AVE,Highland Police,2/10/2019 10:00
THEFT- MOTOR VEHICLE,2019-00018958,2600 BLOCK PACIFIC ST,San Bernardino Police,2/10/2019 8:30
MISC NARCOTIC MISD,190410017,24200 BLOCK MONTEREY AVE,San Bernardino County Sheriff,2/10/2019 7:41
BURGLARY/BREAKING & ENTERING,2019-00018022,100 BLOCK E ST,San Bernardino Police,2/10/2019 6:34
"COMMERCIAL-NIGHT, ENTRY BY FORCE",190410018,7900 BLOCK TIPPECANOE AVE,San Bernardino County Sheriff,2/10/2019 5:29
BURGLARY/BREAKING & ENTERING,2019-00018057,400 BLOCK E ST,San Bernardino Police,2/10/2019 3:00
ASSAULT - AGGRAVATED,2019-00017970,CLUSTER ST & MTN VIEW AVE,San Bernardino Police,2/10/2019 1:40
DRUNKENNESS,2019-00017937,235 KINGMAN,San Bernardino Police,2/10/2019 0:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00020377,600 BLOCK E ST,San Bernardino Police,2/10/2019 0:00
THEFT - FROM VEH,2019-00018061,1200 BLOCK LUGO AVE,San Bernardino Police,2/9/2019 21:00
ASSAULT - AGGRAVATED,2019-00017827,1300 BLOCK 5TH ST,San Bernardino Police,2/9/2019 20:20
ROBBERY,2019-00017806,11TH ST & GARNER AVE,San Bernardino Police,2/9/2019 18:45
THEFT - ALL OTHER,2019-03000560,500 BLOCK 4TH ST,San Bernardino Police,2/9/2019 18:30
SHOPLIFTING,2019-00017807,100 BLOCK INLAND CENTER DR,San Bernardino Police,2/9/2019 17:20
ASSAULT - AGGRAVATED,2019-00017762,D ST & MAGNOLIA AVE,San Bernardino Police,2/9/2019 17:00
ROBBERY,2019-00017694,100 BLOCK E ST,San Bernardino Police,2/9/2019 15:15
CURFEW/LOITERING/VAGRANCY VIOLATIONS,2019-00017661,I215 / MILL ST,San Bernardino Police,2/9/2019 14:51
THEFT- MOTOR VEHICLE,2019-00017648,700 BLOCK 2ND ST,San Bernardino Police,2/9/2019 12:00
BURGLARY/BREAKING & ENTERING,2019-00017716,1300 BLOCK BELLE ST,San Bernardino Police,2/9/2019 12:00
THEFT - ALL OTHER,2019-00018926,100 BLOCK 5TH ST,San Bernardino Police,2/9/2019 11:30
THEFT- MOTOR VEHICLE,2019-00017602,400 BLOCK 6TH ST,San Bernardino Police,2/9/2019 8:42
THEFT - FROM VEH,2019-03000419,654 W 4TH ST,San Bernardino Police,2/9/2019 8:10
THEFT- MOTOR VEHICLE,2019-00017672,1600 BLOCK MAGNOLIA AVE,San Bernardino Police,2/9/2019 4:35
THEFT - FROM VEH,2019-00017515,300 BLOCK 10TH ST,San Bernardino Police,2/9/2019 4:00
POSS OF CONTROLLED SUBSTANCE,190400014,MARILYN AVE / 4TH ST,Highland Police,2/9/2019 1:18
ASSAULT - SIMPLE (NO MED NEEDED),2019-00017449,2700 BLOCK PACIFIC ST,San Bernardino Police,2/9/2019 0:55
THEFT- MOTOR VEHICLE,2019-00017602,400 BLOCK 6TH ST,San Bernardino Police,
"RESIDENTIAL-DAY, ENTRY NO FORCE",190400005,7003 N CONEJO DR 1/2,San Bernardino County Sheriff,2/9/2019 0:21
PETTY THEFT UNDER $950,190430075,7500 BLOCK ELMWOOD RD,Highland Police,2/8/2019 23:00
THEFT - ALL OTHER,2019-00017429,2200 BLOCK CHESTNUT ST,San Bernardino Police,2/8/2019 22:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00017350,200 BLOCK 9TH ST,San Bernardino Police,2/8/2019 21:33
"ASSAULT-SIMPLE, HANDS, FIST, FEET",190390105,7000 BLOCK GARDEN DR,San Bernardino County Sheriff,2/8/2019 20:16
ROBBERY,2019-00017332,600 BLOCK H ST,San Bernardino Police,2/8/2019 20:00
THEFT - FROM BUILDING,2019-00017335,400 BLOCK BASELINE ST,San Bernardino Police,2/8/2019 18:00
PETTY THEFT UNDER $950,190390082,N STERLING AVE / E PACIFIC ST,Highland Police,2/8/2019 15:00
CARRYING CONCEALED FIREARM,190390054,26100 BLOCK BASELINE ST,Highland Police,2/8/2019 14:53
ROBBERY,2019-00017136,1100 BLOCK 2ND ST,San Bernardino Police,2/8/2019 13:12
ASSAULT - SIMPLE (NO MED NEEDED),2019-00017049,1400 BLOCK GENEVIEVE ST,San Bernardino Police,2/8/2019 10:16
ASSAULT - SIMPLE (NO MED NEEDED),2019-00017004,1400 BLOCK 9TH ST,San Bernardino Police,2/8/2019 8:30
THEFT - ALL OTHER,2019-00017284,2600 BLOCK CARDAMON ST,San Bernardino Police,2/8/2019 6:40
ROBBERY,2019-00017036,100 BLOCK 5TH ST,San Bernardino Police,2/8/2019 5:00
BURGLARY/BREAKING & ENTERING,2019-00016959,1100 BLOCK BASELINE ST,San Bernardino Police,2/8/2019 4:48
"ASSAULT-SIMPLE, HANDS, FIST, FEET",190390105,,,
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016929,300 BLOCK GILBERT ST,San Bernardino Police,2/8/2019 2:15
ASSAULT - AGGRAVATED,2019-00016916,100 BLOCK F ST,San Bernardino Police,2/8/2019 1:20
BURGLARY/BREAKING & ENTERING,2019-00016935,900 BLOCK REECE ST,San Bernardino Police,2/8/2019 0:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016861,1500 BLOCK BASELINE ST,San Bernardino Police,2/7/2019 21:40
THEFT - FROM VEH,2019-00017033,700 BLOCK ARROWHEAD AVE,San Bernardino Police,2/7/2019 21:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016825,1300 BLOCK POPLAR ST,San Bernardino Police,2/7/2019 20:17
POSS OF CONTROLLED SUBSTANCE,190380092,N DEL ROSA DR / E 9TH ST,San Bernardino County Sheriff,2/7/2019 19:39
ROBBERY,2019-00016803,1200 BLOCK MTN VIEW AVE,San Bernardino Police,2/7/2019 19:00
SHOPLIFTING,190380091,25700 BLOCK BASELINE ST,Highland Police,2/7/2019 18:30
"211, STRONGARM, OTHER ROBBERY",190380066,BASELINE ST / ELM ST,Highland Police,2/7/2019 15:21
ASSAULT - AGGRAVATED,2019-00017455,BASELINE ST & E ST,San Bernardino Police,2/7/2019 15:00
"211, STRONGARM, OTHER ROBBERY",190380055,6TH ST / LANKERSHIM AVE,Highland Police,2/7/2019 13:47
"FRAUD, IDENTITY THEFT",190380044,600 BLOCK E 3RD ST,San Bernardino County Sheriff,2/7/2019 12:44
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016595,100 BLOCK D ST,San Bernardino Police,2/7/2019 12:20
THEFT- MOTOR VEHICLE,2019-00017020,16TH ST & MASSACHUSETTS AVE,San Bernardino Police,2/7/2019 12:00
ROBBERY,2019-00016542,1600 BLOCK CONGRESS ST,San Bernardino Police,2/7/2019 11:02
THEFT - BICYCLES,2019-00016626,900 BLOCK E ST,San Bernardino Police,2/7/2019 10:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016506,100 BLOCK 10TH ST,San Bernardino Police,2/7/2019 9:50
BURGLARY/BREAKING & ENTERING,2019-00016740,200 BLOCK ALLEN ST,San Bernardino Police,2/7/2019 9:00
LOST OR STOLEN PLATE,190380021,26400 BLOCK TEMPLE ST,Highland Police,2/7/2019 9:00
THEFT - ALL OTHER,2019-00017085,1500 BLOCK BASELINE ST,San Bernardino Police,2/7/2019 8:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016386,6TH ST & H ST,San Bernardino Police,2/7/2019 0:21
THEFT- MOTOR VEHICLE,2019-00016380,D ST & MAGNOLIA AVE,San Bernardino Police,2/6/2019 23:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016332,1300 BLOCK ARROWHEAD AVE,San Bernardino Police,2/6/2019 20:18
ASSAULT - AGGRAVATED,2019-00016321,RIALTO AVE & E ST,San Bernardino Police,2/6/2019 19:30
POSS OF CONTROLLED SUBSTANCE,190370073,S DEL ROSA DR / BESSANT ST,San Bernardino County Sheriff,2/6/2019 19:18
THEFT- MOTOR VEHICLE,2019-00016357,G ST & 11TH ST,San Bernardino Police,2/6/2019 19:00
THEFT - ALL OTHER,2019-00016751,500 BLOCK SAN BENITO AVE,San Bernardino Police,2/6/2019 17:00
MISC NARCOTIC MISD,190370102,STERLING AVE / 13TH ST,Highland Police,2/6/2019 16:19
MISC NARCOTIC MISD,190370103,VICTORIA AVE / 14TH ST,Highland Police,2/6/2019 16:19
THEFT - ALL OTHER,2019-00016559,2600 BLOCK CARDAMON ST,San Bernardino Police,2/6/2019 16:00
LOST OR STOLEN PLATE,190370080,7500 BLOCK GUTHRIE ST,Highland Police,2/6/2019 14:08
THEFT - ALL OTHER,2019-00016182,1100 BLOCK ACACIA AVE,San Bernardino Police,2/6/2019 13:45
GTA - AUTO,190370074,BASELINE ST / STERLING AVE,Highland Police,2/6/2019 13:22
ASSAULT - AGGRAVATED,2019-00016181,200 BLOCK DALLAS AVE,San Bernardino Police,2/6/2019 13:15
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016158,PERSHING AVE & 7TH ST,San Bernardino Police,2/6/2019 13:04
THEFT - ALL OTHER,2019-00016171,100 BLOCK ALLEN ST,San Bernardino Police,2/6/2019 12:00
ASSAULT - AGGRAVATED,2019-00016074,1500 BLOCK D ST,San Bernardino Police,2/6/2019 10:00
BURGLARY/BREAKING & ENTERING,2019-00019504,1600 BLOCK 10TH ST,San Bernardino Police,2/6/2019 8:00
ASSAULT - AGGRAVATED,2019-00015992,200 BLOCK BASELINE ST,San Bernardino Police,2/6/2019 4:45
THEFT- MOTOR VEHICLE,2019-00015969,2600 BLOCK 2ND ST,San Bernardino Police,2/6/2019 1:51
VANDALISM LESS THAN $400.00,190370008,6900 BLOCK VICTORIA AVE,Highland Police,2/6/2019 1:29
THEFT- MOTOR VEHICLE,2019-00015980,1300 BLOCK 9TH ST,San Bernardino Police,2/6/2019 1:00
THEFT - ALL OTHER,2019-00016680,2600 BLOCK CARDAMON ST,San Bernardino Police,2/6/2019 0:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015914,599 W RIALTO AVE,San Bernardino Police,2/5/2019 22:37
THEFT - FROM VEH,2019-03000423,1000 BLOCK 6TH ST,San Bernardino Police,2/5/2019 21:30
MISC NARCOTIC MISD,190360102,BASELINE ST / MIRA VISTA AVE,Highland Police,2/5/2019 20:37
THEFT - FROM VEH,2019-00016116,2100 BLOCK RIALTO AVE,San Bernardino Police,2/5/2019 17:00
THEFT- MOTOR VEHICLE,2019-00015796,200 BLOCK 9TH ST,San Bernardino Police,2/5/2019 16:03
THEFT - ALL OTHER,2019-00016151,1200 BLOCK CEDAR ST,San Bernardino Police,2/5/2019 16:00
THEFT - ALL OTHER,2019-00016065,400 BLOCK 3RD ST,San Bernardino Police,2/5/2019 16:00
THEFT - ALL OTHER,2019-00015798,555 W 2ND ST,San Bernardino Police,2/5/2019 15:58
SHOPLIFTING,2019-00015771,555 W 2ND ST,San Bernardino Police,2/5/2019 14:15
SHOPLIFTING,2019-00015785,601 W 2ND ST,San Bernardino Police,2/5/2019 14:00
THEFT - ALL OTHER,2019-00018474,600 BLOCK J ST,San Bernardino Police,2/5/2019 11:00
THEFT - FROM VEH,2019-00016048,1800 BLOCK 13TH ST,San Bernardino Police,2/5/2019 9:30
THEFT- MOTOR VEHICLE,2019-00015567,200 BLOCK TEMPLE ST,San Bernardino Police,2/5/2019 0:01
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015461,1500 BLOCK LUGO AVE,San Bernardino Police,2/4/2019 23:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015890,600 BLOCK 14TH ST,San Bernardino Police,2/4/2019 23:00
BURGLARY/BREAKING & ENTERING,2019-00015455,200 BLOCK 8TH ST,San Bernardino Police,2/4/2019 22:00
RAPE - FORCIBLE,2019-00024906,MACY ST & 2ND ST,San Bernardino Police,2/4/2019 21:00
BURGLARY/BREAKING & ENTERING,2019-00015573,1100 BLOCK 3RD ST,San Bernardino Police,2/4/2019 21:00
THEFT - VEH PARTS,2019-00016331,13TH ST & K ST,San Bernardino Police,2/4/2019 20:30
ROBBERY,2019-00015410,1000 BLOCK WATERMAN AVE,San Bernardino Police,2/4/2019 19:00
THEFT - FROM VEH,2019-03000355,500 BLOCK MT VERNON AVE,San Bernardino Police,2/4/2019 19:00
THEFT - FROM VEH,2019-03000353,500 BLOCK MT VERNON AVE,San Bernardino Police,2/4/2019 19:00
THEFT - FROM VEH,2019-03000356,500 BLOCK MT VERNON AVE,San Bernardino Police,2/4/2019 18:40
"RESIDENTIAL-DAY, ENTRY BY FORCE",190350077,26400 BLOCK TEMPLE ST,Highland Police,2/4/2019 18:27
